A=9127 B=5672 C=5758 X=641031208 Y=3761308377 Z=75577790180 M=2973
A=6173 B=3721 C=6566 X=119032067 Y=9716574192 Z=11746360924 M=4739
A=5385 B=4112 C=6685 X=531583612 Y=1326642858 Z=54098604164 M=7182
A=7920 B=7754 C=6931 X=582696652 Y=1173046816 Z=37644747368 M=4090
A=5933 B=3166 C=5446 X=163131550 Y=4482572131 Z=52531765733 M=4846
A=3440 B=8705 C=6929 X=645157570 Y=4479282203 Z=45611629553 M=3483
A=2920 B=9313 C=5644 X=944934365 Y=8698533957 Z=58637862409 M=7198
A=8623 B=9687 C=9010 X=735778801 Y=3176333724 Z=61397416276 M=8325
A=7642 B=3051 C=9798 X=939178487 Y=1366179280 Z=49148687204 M=5158
A=6249 B=8743 C=9619 X=641014133 Y=3467548393 Z=47677126703 M=6316
A=4513 B=5665 C=8305 X=867134994 Y=2175534864 Z=46361889980 M=6223
A=3796 B=8858 C=6646 X=896562543 Y=8246854637 Z=93042216745 M=3865
A=9590 B=9358 C=6268 X=890696007 Y=4204375574 Z=43784117795 M=1950
A=4531 B=7208 C=6605 X=778722069 Y=6423697764 Z=20916538850 M=8657
A=8031 B=5950 C=7424 X=183429046 Y=1499271107 Z=91867372949 M=1677
A=3723 B=6590 C=7638 X=104277759 Y=4756297204 Z=51385250847 M=8291
A=6929 B=3009 C=9603 X=239873364 Y=5942416431 Z=40148107049 M=3894
A=8076 B=5958 C=7040 X=752112813 Y=1479512009 Z=13172995898 M=9502
A=4105 B=5125 C=7618 X=707849099 Y=7567640092 Z=21441120234 M=3010
A=3926 B=8940 C=6313 X=888132522 Y=5727100332 Z=62534878756 M=5761
A=2461 B=9167 C=8316 X=447599117 Y=8889186734 Z=82674257749 M=3811
A=3900 B=4114 C=6293 X=710826114 Y=1443783374 Z=76784251728 M=7885
A=3118 B=8780 C=5857 X=545941573 Y=2170353206 Z=20907580375 M=7175
A=7509 B=6253 C=7337 X=221891588 Y=9575518974 Z=81306980499 M=3042
A=8694 B=8063 C=6871 X=500709210 Y=7078233437 Z=48201497377 M=6872
A=8943 B=9326 C=5644 X=621577386 Y=3536650292 Z=19774561164 M=6812
A=6162 B=8765 C=8321 X=526902220 Y=6459757994 Z=39921410409 M=4602
A=7046 B=7542 C=8010 X=748089739 Y=1184065178 Z=71590297832 M=5048
A=8219 B=7388 C=6298 X=433640874 Y=3818933288 Z=18568171220 M=3693
A=5810 B=4429 C=6045 X=882472340 Y=5652675083 Z=14293263048 M=9742
A=9213 B=4805 C=9193 X=928015537 Y=6961536644 Z=10752799345 M=4097
A=3814 B=6711 C=8072 X=772769295 Y=3869724956 Z=77673531992 M=7752
A=7480 B=6196 C=5751 X=894761560 Y=5927535478 Z=27652957773 M=9217
A=9116 B=5009 C=9580 X=939165594 Y=1555839124 Z=34806971398 M=4563
A=2047 B=6203 C=6912 X=824454539 Y=9770204637 Z=27455555256 M=3062
A=8529 B=5614 C=9582 X=687393640 Y=9577537135 Z=75464094754 M=7025
A=3727 B=8966 C=9664 X=683649180 Y=1863457257 Z=52923759759 M=7211
A=3811 B=7400 C=5939 X=317585439 Y=5379370281 Z=39697991670 M=4516
A=2679 B=3192 C=6004 X=817338051 Y=4443781004 Z=72342721689 M=3549
A=5360 B=8437 C=8209 X=361584772 Y=1218248725 Z=19334857635 M=1310
A=2093 B=4868 C=6657 X=480112631 Y=4501156294 Z=64528038721 M=4292
A=3262 B=5048 C=7793 X=433377848 Y=8029206546 Z=22266761662 M=6391
A=7279 B=8775 C=6726 X=467461894 Y=8682134156 Z=20459453236 M=6454
A=7192 B=5674 C=8305 X=957857248 Y=9464482121 Z=83799750072 M=4971
A=6425 B=4832 C=9914 X=412651701 Y=9556419336 Z=72205946504 M=2210
A=8045 B=7525 C=7069 X=424929803 Y=5760152351 Z=30728123957 M=3966
A=2222 B=6318 C=8248 X=532121853 Y=9748519338 Z=70540829409 M=1769
A=6996 B=7958 C=5945 X=403960807 Y=4546966134 Z=44678300589 M=6868
A=4041 B=8760 C=6265 X=100410105 Y=9746581986 Z=11628887603 M=3091
A=4817 B=7578 C=9507 X=630895809 Y=8053563969 Z=18860591685 M=9110
A=8326 B=3362 C=5005 X=875861358 Y=1289298409 Z=55652923046 M=2126
A=6619 B=6983 C=7080 X=590390121 Y=5179425694 Z=48064673589 M=2809
A=7205 B=9985 C=5969 X=855796333 Y=6600597745 Z=67251193508 M=1074
A=9592 B=6254 C=7089 X=450705090 Y=9430336886 Z=21669370673 M=2000
A=7646 B=3118 C=6975 X=720274401 Y=1444750347 Z=21039658656 M=3677
A=6345 B=7467 C=9201 X=244536391 Y=2131497493 Z=10939022226 M=6123
A=8660 B=6033 C=5522 X=768929387 Y=5856752970 Z=19991705316 M=4760
A=4161 B=5803 C=6709 X=672865829 Y=6212193619 Z=98715669591 M=5319
A=2643 B=6601 C=7565 X=510124367 Y=4440422275 Z=78534710991 M=2834
A=8794 B=9681 C=6926 X=245673030 Y=8990294656 Z=94817594715 M=5837
A=7017 B=8703 C=6532 X=903594222 Y=4617414051 Z=44678923749 M=4350
A=2792 B=5861 C=8076 X=548651512 Y=3679377612 Z=20608316295 M=2514
A=8159 B=6533 C=6737 X=662939678 Y=6505253960 Z=74242560999 M=2697
A=8120 B=7696 C=9262 X=554506850 Y=1199836788 Z=31762249169 M=4118
A=7665 B=6816 C=8879 X=542865597 Y=7142469876 Z=84169009985 M=3540
A=5769 B=5372 C=9645 X=508870021 Y=6335571732 Z=49049843506 M=6649
A=6534 B=9852 C=5722 X=873997544 Y=5054850243 Z=95631647604 M=6505
A=5563 B=6419 C=5028 X=174511991 Y=6459676058 Z=81432402134 M=1317
A=3410 B=7607 C=7717 X=302524754 Y=3716005977 Z=61201370811 M=1383
A=8464 B=4057 C=5216 X=584618843 Y=9457223725 Z=42865681172 M=7841
A=7890 B=3388 C=7856 X=680664153 Y=3362741064 Z=54015610066 M=7671
A=5824 B=3093 C=5958 X=142232811 Y=5024400986 Z=41448423276 M=1201
A=7629 B=7521 C=6599 X=988405881 Y=3909308435 Z=12435829421 M=3391
A=4332 B=3753 C=8069 X=206832085 Y=7932675991 Z=37234804903 M=2401
A=5869 B=4445 C=9114 X=371082295 Y=4567952668 Z=59855628516 M=6347
A=2426 B=9231 C=9218 X=403011866 Y=5661180663 Z=46118056304 M=7529
A=5597 B=4309 C=7127 X=257026825 Y=4758594527 Z=61037566050 M=6823
A=2570 B=9378 C=7968 X=950216481 Y=6019691585 Z=69690719709 M=5770
A=7187 B=3532 C=7560 X=738073046 Y=4217832509 Z=51829569198 M=9416
A=7283 B=5326 C=8751 X=935687145 Y=9392107577 Z=42851572512 M=1592
A=9855 B=6766 C=8898 X=427183948 Y=8624825264 Z=39112293240 M=5271
A=4409 B=9670 C=8160 X=915090636 Y=1210467038 Z=74340259742 M=6331
A=8653 B=7002 C=7398 X=523360272 Y=4199056929 Z=68598895566 M=3692
A=5833 B=7841 C=8855 X=797975341 Y=4641470907 Z=44597495848 M=7286
A=8863 B=8395 C=7315 X=221353269 Y=3831317223 Z=39884550323 M=2304
A=3897 B=8666 C=5962 X=572895847 Y=7119114780 Z=61488678105 M=6231
A=9939 B=4634 C=8932 X=402736814 Y=4763155832 Z=69907633454 M=7157
A=9210 B=9661 C=6887 X=104748528 Y=4144920651 Z=18312908095 M=1104
A=6146 B=6509 C=7710 X=726001987 Y=6211226366 Z=93845886502 M=5987
A=9159 B=8343 C=5052 X=702008092 Y=2305967033 Z=18355454377 M=1648
A=3745 B=3017 C=7875 X=195341836 Y=9177742255 Z=76372579185 M=5908
A=5293 B=4846 C=7759 X=996107533 Y=9988542624 Z=70751564390 M=7819
A=7735 B=3443 C=8758 X=110772276 Y=8981927070 Z=30597763647 M=6143
A=3686 B=5626 C=6871 X=249453567 Y=6779939113 Z=88720744414 M=7860
A=7442 B=4621 C=9790 X=167353822 Y=4705772590 Z=19998938205 M=1054
A=9376 B=5960 C=6290 X=361491469 Y=8203098846 Z=54420864606 M=6275
A=7741 B=8792 C=9692 X=991408006 Y=3508169886 Z=40217728736 M=5710
A=6609 B=5419 C=6203 X=532093143 Y=3520922396 Z=47595326327 M=4696
A=7338 B=9011 C=6716 X=529619078 Y=8813514676 Z=24769426903 M=8710
A=9744 B=5750 C=5914 X=981190100 Y=8645941996 Z=98890056557 M=6511
A=7962 B=8135 C=6645 X=110851760 Y=5505306335 Z=86255185856 M=3193
A=5902 B=7269 C=8949 X=122525190 Y=1955970308 Z=14405497097 M=9992
A=7974 B=9719 C=5486 X=777390638 Y=2498138151 Z=16894105195 M=1795
A=7598 B=6993 C=8614 X=824486269 Y=2329268157 Z=59994944833 M=9525
A=5563 B=7851 C=6215 X=444979074 Y=5303965230 Z=12368911333 M=6110
A=5488 B=4999 C=7478 X=772412118 Y=2415559690 Z=69490732369 M=1137
A=8292 B=6298 C=6843 X=386199225 Y=7036411548 Z=37812883154 M=1961
A=2725 B=4086 C=8930 X=199358594 Y=4552705318 Z=63796286980 M=1832
A=5292 B=4068 C=8197 X=357926252 Y=4650942611 Z=86449403150 M=6134
A=5121 B=5364 C=7319 X=616777621 Y=3104518249 Z=22751084123 M=1199
A=3108 B=8377 C=6662 X=817414962 Y=7538200259 Z=17353025254 M=6793
A=3598 B=8816 C=5776 X=247221580 Y=7178468181 Z=81325172362 M=6876
A=8362 B=9401 C=5436 X=837817888 Y=7283314220 Z=27014461667 M=9409
A=8079 B=3706 C=8264 X=189217893 Y=1421286326 Z=46941762184 M=5448
A=3079 B=9719 C=8571 X=188605075 Y=7372116605 Z=95576164044 M=9086
A=4854 B=3676 C=6953 X=916863036 Y=3439213415 Z=72865155105 M=5679
A=3203 B=3728 C=7343 X=377054582 Y=2015949347 Z=26012859889 M=6371
A=7507 B=4288 C=8903 X=664960267 Y=2532873104 Z=58604341340 M=5868
A=7043 B=9314 C=8371 X=345472637 Y=9989797717 Z=46750700049 M=7211
A=6192 B=3004 C=5758 X=447778974 Y=2780354214 Z=49326137603 M=5403
A=8676 B=6318 C=8782 X=293146500 Y=7222277837 Z=74199248680 M=3651
A=5087 B=6636 C=8728 X=157204334 Y=8540516973 Z=10227985187 M=9368
A=7340 B=7458 C=8427 X=392702661 Y=2765241038 Z=37933570602 M=3841
A=9820 B=8561 C=7132 X=137439581 Y=8726251300 Z=18994014826 M=8454
A=9171 B=9790 C=5777 X=595491699 Y=6344864124 Z=54398712994 M=7241
A=2536 B=9807 C=6458 X=334997538 Y=1845041043 Z=88684315485 M=1828
A=6997 B=9070 C=8819 X=170483906 Y=8179571288 Z=93842614766 M=8191
A=7158 B=6897 C=5344 X=906168598 Y=3611920502 Z=90122654053 M=7865
A=2822 B=6176 C=5579 X=408569554 Y=2720303740 Z=72932909361 M=7139
A=3593 B=4789 C=8279 X=360916095 Y=3452718049 Z=62639896279 M=1059
A=7656 B=3160 C=5428 X=986075626 Y=8910227587 Z=51953351898 M=1956
A=5281 B=6321 C=7316 X=610289217 Y=1020767266 Z=97852989390 M=8260
A=8049 B=4638 C=7065 X=261981085 Y=2284064814 Z=58672255746 M=8138
A=7233 B=6239 C=5137 X=918697173 Y=7692937658 Z=53648341850 M=6930
A=7817 B=3485 C=9743 X=380442646 Y=7344380420 Z=20033825691 M=3163
A=4458 B=4534 C=5240 X=532206508 Y=2873062746 Z=32680657977 M=3276
A=8294 B=8675 C=5324 X=207390262 Y=1260378148 Z=31376957588 M=2458
A=2577 B=4697 C=5150 X=119271732 Y=4507174370 Z=50742600130 M=4960
A=5054 B=9799 C=9302 X=582546194 Y=8217694606 Z=62443540673 M=4994
A=6011 B=4394 C=9735 X=681893978 Y=7767632698 Z=29782268164 M=9459
A=8061 B=5527 C=8819 X=545264232 Y=1563237604 Z=22609702449 M=7764
A=8061 B=4779 C=6957 X=545811440 Y=3416385450 Z=51603796723 M=5842
A=3743 B=8338 C=7744 X=293732979 Y=1274951600 Z=22655061226 M=8704
A=8694 B=6120 C=9153 X=697460859 Y=6819062656 Z=61366979333 M=5722
A=2820 B=4868 C=9061 X=269141755 Y=8211190756 Z=90381659633 M=6729
A=4604 B=9438 C=8298 X=704584705 Y=6272399332 Z=16777162660 M=2869
A=2258 B=8961 C=6348 X=290551312 Y=5058907025 Z=17879805253 M=2628
A=8910 B=6009 C=8035 X=542432300 Y=2935330295 Z=92718950914 M=8029
A=4963 B=7974 C=5520 X=714193790 Y=2838129262 Z=54261264693 M=7861
A=6581 B=9195 C=9803 X=435614341 Y=4968200324 Z=71153390133 M=9279
A=7938 B=9820 C=8107 X=219787456 Y=9492601933 Z=79227272109 M=2976
A=5406 B=4876 C=8867 X=263541572 Y=7001769151 Z=24998903891 M=5757
A=5409 B=3836 C=6324 X=884835306 Y=6784545243 Z=27705977408 M=6636
A=8123 B=7349 C=5139 X=956009773 Y=6796063973 Z=96156242460 M=7670
A=9037 B=8257 C=5456 X=768188206 Y=5248356497 Z=33136997900 M=7652
A=3544 B=3116 C=7904 X=837620826 Y=7674578592 Z=65995397899 M=5863
A=7234 B=4721 C=9768 X=694508231 Y=7560710757 Z=89478240461 M=1275
A=5517 B=8534 C=9196 X=172205135 Y=6698462006 Z=98944963026 M=2468
A=4944 B=5353 C=9608 X=855483796 Y=5621617643 Z=62175920024 M=2027
A=9916 B=3058 C=9509 X=259864047 Y=6162653420 Z=14471889565 M=1012
A=3124 B=6934 C=7897 X=593579795 Y=5656231737 Z=32583890118 M=7730
A=2893 B=4746 C=9465 X=270150416 Y=1923495492 Z=59434123213 M=8881
A=5968 B=3419 C=9988 X=242284179 Y=6943733556 Z=30168531675 M=4198
A=3987 B=8746 C=8846 X=311762527 Y=5244775368 Z=27814001324 M=5784
A=3653 B=6617 C=5716 X=814335310 Y=3575060681 Z=71923216221 M=6243
A=6403 B=4026 C=5938 X=795239524 Y=4186965472 Z=53428316504 M=4265
A=5375 B=5758 C=5509 X=825686611 Y=1254708558 Z=86675759062 M=4426
A=9586 B=8876 C=6597 X=985184365 Y=6777082085 Z=65203263232 M=3420
A=8711 B=5357 C=9419 X=912659960 Y=5953289765 Z=58951999606 M=5204
A=8770 B=6059 C=5212 X=147987696 Y=7220446681 Z=30875178492 M=4515
A=4927 B=5944 C=9626 X=193447900 Y=9303074375 Z=13788740636 M=5690
A=6819 B=6669 C=7686 X=756108166 Y=1828295727 Z=85202144634 M=9619
A=7579 B=8124 C=5240 X=179465709 Y=7202144624 Z=45537505603 M=3294
A=3211 B=8786 C=8596 X=739407521 Y=8795580558 Z=19673460096 M=2772
A=2066 B=3112 C=6383 X=748632024 Y=3297953063 Z=96055652848 M=9485
A=9079 B=5033 C=5434 X=282482426 Y=7410094237 Z=24226525804 M=4951
A=2284 B=9232 C=8155 X=753481730 Y=6833799743 Z=14238253562 M=6966
A=6593 B=4748 C=5598 X=507669900 Y=1988747012 Z=18591224758 M=7372
A=9997 B=4682 C=7707 X=638502133 Y=3364006378 Z=19236205931 M=4658
A=7695 B=4325 C=7294 X=672676267 Y=8954207221 Z=93202748433 M=5884
A=5739 B=4125 C=7680 X=250866189 Y=4151749440 Z=52041270793 M=8381
A=2844 B=9875 C=7555 X=251390386 Y=4887148828 Z=47796836570 M=9060
A=9450 B=7442 C=8846 X=244610372 Y=2425371383 Z=89326484386 M=3154
A=3698 B=4781 C=9127 X=267517239 Y=8938311452 Z=59320686493 M=9718
A=5640 B=7320 C=9108 X=459137594 Y=2763117982 Z=25381491707 M=1072
A=3807 B=9178 C=7773 X=613587325 Y=2437334896 Z=24880308222 M=3825
A=3266 B=8977 C=7203 X=301634782 Y=8263956549 Z=62515931311 M=9782
A=2752 B=5078 C=8093 X=351140424 Y=5533860380 Z=76987297271 M=3660
A=7120 B=3427 C=8293 X=195153435 Y=6366029442 Z=59492759804 M=4115
A=3799 B=6426 C=6383 X=167805486 Y=2437464106 Z=72118756413 M=2011
A=3083 B=6063 C=6769 X=610308443 Y=4475608554 Z=91797453883 M=8235
A=7228 B=7124 C=8807 X=408525963 Y=8588639210 Z=81526272560 M=9041
A=3531 B=9046 C=8579 X=734070900 Y=8187474369 Z=70553077046 M=8658
A=8609 B=8631 C=9078 X=896302426 Y=4466084344 Z=49920431898 M=1026
A=3958 B=7824 C=9732 X=428086146 Y=8811414576 Z=42122069118 M=4410
A=4155 B=7983 C=9001 X=238260280 Y=7579635103 Z=51436217128 M=6124
A=4344 B=7315 C=8847 X=856114764 Y=4998871265 Z=59396108587 M=5961
A=4683 B=6717 C=8977 X=325476313 Y=5109482746 Z=66954341179 M=3628
A=2872 B=6778 C=9729 X=680102804 Y=7938163575 Z=40622781273 M=6937
A=6952 B=3655 C=6655 X=599104169 Y=9195300139 Z=86852644016 M=5214
A=2899 B=4353 C=6968 X=127434051 Y=8403510132 Z=92394850713 M=6007
A=5873 B=8711 C=7684 X=802621285 Y=6374539530 Z=90779079066 M=1313
A=6395 B=6393 C=8972 X=559325669 Y=7945687816 Z=72552508640 M=8833
A=2448 B=4772 C=6836 X=798972663 Y=3210824313 Z=55535782524 M=9248
A=9854 B=3031 C=9656 X=266288829 Y=9331595050 Z=70631606707 M=2465
A=5908 B=5172 C=6829 X=986876001 Y=4671890784 Z=74365596439 M=1291
A=3008 B=7726 C=5176 X=584807870 Y=8711518310 Z=72416449380 M=5950
A=6585 B=5756 C=6315 X=390926003 Y=4033313057 Z=71577343716 M=3757
A=5429 B=9022 C=9020 X=449463001 Y=3615314686 Z=69992844904 M=8204
A=3283 B=7873 C=7237 X=277293447 Y=9287370681 Z=99247524537 M=3420
A=7943 B=4263 C=5438 X=911008466 Y=9186165913 Z=79206816544 M=3883
A=3337 B=3554 C=8615 X=476758394 Y=9536952578 Z=69487587537 M=4618
A=9833 B=5662 C=6855 X=168533334 Y=8196189539 Z=43916833621 M=1993
A=2543 B=7333 C=7078 X=806337515 Y=3465169967 Z=68150216539 M=5926
A=3742 B=7073 C=5623 X=357624280 Y=8994360836 Z=37029427179 M=9403
A=6121 B=7269 C=5947 X=805648952 Y=1259617443 Z=46472007004 M=4729
A=6074 B=6615 C=5383 X=851893469 Y=1416471510 Z=41508704069 M=5171
A=5089 B=6192 C=5203 X=315805034 Y=3473797041 Z=20492961339 M=2719
A=5016 B=8812 C=8900 X=866132027 Y=8337973870 Z=92132522745 M=1297
A=2892 B=4515 C=5481 X=665905861 Y=7745020649 Z=53072818169 M=2281
A=7548 B=8080 C=7964 X=312199135 Y=8790259499 Z=82847590598 M=1321
A=4957 B=4159 C=8425 X=911640577 Y=1364221526 Z=86347307921 M=6036
A=2803 B=9506 C=8029 X=444639266 Y=8976400155 Z=87328377491 M=3944
A=8926 B=4095 C=6701 X=173263034 Y=1246268951 Z=42726553879 M=3049
A=3370 B=5715 C=8790 X=840987923 Y=8838247896 Z=69410315765 M=5553
A=2342 B=5420 C=8541 X=318251660 Y=2489157506 Z=97374035783 M=1866
A=6254 B=5561 C=6056 X=622003515 Y=7616132270 Z=29199328541 M=6512
A=4446 B=8739 C=9195 X=356616350 Y=6105221183 Z=27521885667 M=8993
A=6048 B=4810 C=5781 X=385114214 Y=6188672291 Z=84269817322 M=5726
A=2866 B=8992 C=6240 X=463637700 Y=4546494846 Z=74766997901 M=6715
A=8182 B=3606 C=9936 X=482404917 Y=4800560904 Z=25124766391 M=3830
A=3029 B=9354 C=9448 X=775806588 Y=7411648203 Z=56896096263 M=3767
A=5871 B=6581 C=6409 X=720947163 Y=7097934042 Z=67876663584 M=7420
A=9023 B=3723 C=5269 X=257350117 Y=5562169547 Z=48085513519 M=7777
A=8521 B=6791 C=8320 X=422187639 Y=8139986964 Z=43916592554 M=3396
A=9252 B=4951 C=7504 X=573287041 Y=7172420532 Z=35043196189 M=3504
A=6618 B=8392 C=7605 X=194713809 Y=1777140414 Z=82615305486 M=9430
A=7422 B=9658 C=8713 X=131165503 Y=1809201764 Z=89085865406 M=4974
A=9574 B=8037 C=7179 X=881616786 Y=4997004600 Z=81511298651 M=4098
A=7637 B=9951 C=9856 X=784539942 Y=9817147910 Z=12180279755 M=4679
A=9737 B=6899 C=7588 X=441582186 Y=3147485939 Z=25433496281 M=9496
A=3544 B=5593 C=5862 X=583514202 Y=7218848861 Z=92507286426 M=4608
A=8571 B=8111 C=8196 X=568042025 Y=8506366761 Z=17072775125 M=8932
A=9235 B=3576 C=7684 X=902156299 Y=9230797228 Z=33286966245 M=2830
A=8608 B=8728 C=6001 X=820686408 Y=5799186649 Z=25230354857 M=3989
A=9706 B=8002 C=9046 X=633769147 Y=2983184707 Z=71732976670 M=1786
A=9934 B=5829 C=7591 X=362085527 Y=2824765027 Z=58301796059 M=9022
A=9964 B=8372 C=6128 X=866027054 Y=6493774448 Z=87037453151 M=4780
A=5701 B=8536 C=7748 X=811468318 Y=6089538888 Z=61600245701 M=6422
A=6508 B=8296 C=9712 X=548962803 Y=7944724562 Z=26631417506 M=4441
A=2296 B=3752 C=9506 X=793146372 Y=2507665669 Z=68348579500 M=3449
A=2994 B=6802 C=5949 X=670414067 Y=5161616422 Z=71344529212 M=7846
A=4118 B=3719 C=7011 X=393324377 Y=7246841727 Z=12260096744 M=6466
A=6351 B=9059 C=5438 X=340798128 Y=1716543050 Z=13443786001 M=6633
A=6905 B=5973 C=5959 X=679781629 Y=7624531625 Z=30249374127 M=1624
A=5938 B=8504 C=8999 X=308566350 Y=7081689143 Z=59933834164 M=5753
A=9404 B=5174 C=9165 X=221835758 Y=3497390848 Z=20492097234 M=6665
A=7393 B=5438 C=7043 X=964917054 Y=3349956964 Z=17674797521 M=5709
A=4325 B=7669 C=7175 X=225212062 Y=3984352031 Z=89811585734 M=2917
A=2545 B=6061 C=5126 X=767167831 Y=6500342509 Z=89194688770 M=2447
A=5746 B=4990 C=5991 X=587198250 Y=1044604184 Z=32449916317 M=7249
A=9971 B=3417 C=5743 X=558351998 Y=2476478834 Z=18431577331 M=4176
A=9434 B=7194 C=5774 X=112582071 Y=9174088401 Z=17701691239 M=4315
A=2198 B=5262 C=8022 X=191502703 Y=2971156017 Z=58623561341 M=5586
A=5527 B=5769 C=7004 X=455291836 Y=1122637376 Z=75018417963 M=1464
A=2962 B=4808 C=5271 X=654980918 Y=6336786144 Z=29652503209 M=9504
A=5499 B=3216 C=7267 X=570458527 Y=3402316723 Z=75690820803 M=2019
A=2694 B=3332 C=5454 X=420833662 Y=1568338738 Z=12830232091 M=9656
A=9845 B=7581 C=5030 X=952622672 Y=8293247768 Z=15674671828 M=3983
A=4864 B=8205 C=8782 X=102895755 Y=4595867694 Z=95177690465 M=8054
A=8943 B=7904 C=7683 X=202737413 Y=7661621440 Z=92410805154 M=4412
A=7437 B=7561 C=5598 X=831294321 Y=3987348216 Z=45896241456 M=8454
A=8765 B=5901 C=9583 X=137688593 Y=2520201497 Z=46210134917 M=5596
A=3057 B=4883 C=9695 X=512467167 Y=6693542701 Z=48629551466 M=9177
A=8674 B=3727 C=8650 X=302511594 Y=3414688884 Z=64043412149 M=5915
A=7841 B=5489 C=5660 X=981979089 Y=4271395317 Z=94300707036 M=2848
A=7297 B=9878 C=5780 X=433839249 Y=1083816411 Z=43830268566 M=3351
A=8940 B=4733 C=5644 X=417152356 Y=9728072707 Z=33506498351 M=6037
A=3108 B=8275 C=8953 X=162890286 Y=7656959207 Z=42105906484 M=5015
A=8982 B=4989 C=8154 X=525965863 Y=4755467785 Z=44866016022 M=4931
A=6721 B=3200 C=8971 X=802188658 Y=4926613666 Z=10283098429 M=4560
A=8966 B=7189 C=7872 X=673302968 Y=1171763922 Z=84993898444 M=8225
A=4205 B=8086 C=7194 X=108576017 Y=6632922254 Z=42945644429 M=2387
A=9220 B=3311 C=6673 X=419564010 Y=3170706740 Z=63880859822 M=1353
A=4916 B=6860 C=6757 X=989431841 Y=7488532832 Z=62905504244 M=9561
A=6564 B=6470 C=9700 X=925387523 Y=4260667602 Z=40612144868 M=2438
A=5631 B=6318 C=5938 X=729860328 Y=3755237158 Z=21716987796 M=9074
A=8329 B=8148 C=6387 X=149527579 Y=8707003603 Z=54733301422 M=9557
A=3505 B=5263 C=9643 X=714506319 Y=8120761697 Z=61095960019 M=2130
A=3187 B=9952 C=5789 X=730820126 Y=5622683619 Z=64920709245 M=6203
A=4530 B=7366 C=8190 X=872517284 Y=9077853063 Z=17542964660 M=3402
A=9572 B=5567 C=6341 X=357112651 Y=7781008748 Z=32614051139 M=7485
A=6822 B=5548 C=6148 X=826585694 Y=7755297859 Z=65656669570 M=4999
A=7886 B=6329 C=8270 X=303248158 Y=9002449249 Z=83266986733 M=4369
A=5773 B=7233 C=8022 X=785453295 Y=2180237396 Z=65559151965 M=8895
A=6431 B=6528 C=5938 X=337625203 Y=6967182781 Z=14277220982 M=5661
A=4418 B=8830 C=7739 X=629049701 Y=1077586789 Z=42676545664 M=3051
A=2963 B=4648 C=5090 X=356786203 Y=7790582485 Z=40815194583 M=7680
A=2357 B=5403 C=9265 X=926739927 Y=6961869865 Z=79192678933 M=8041
A=8728 B=8303 C=9313 X=161926852 Y=9184063115 Z=44610308272 M=8421
A=3346 B=8547 C=6747 X=553159226 Y=1824058790 Z=30802083332 M=5425
A=6263 B=6593 C=8954 X=325913889 Y=8180034226 Z=12776179645 M=9625
A=2468 B=3296 C=8313 X=543037911 Y=5614268008 Z=69134816785 M=2795
A=7213 B=9808 C=8280 X=111263073 Y=8477205600 Z=98413502746 M=4821
A=2615 B=3467 C=7996 X=706854988 Y=6500453253 Z=54003432188 M=6806
A=4247 B=9429 C=6939 X=174263832 Y=2032259835 Z=23705522559 M=6552
A=3471 B=9601 C=5283 X=283420024 Y=8072380201 Z=94064798575 M=9992
A=8634 B=3850 C=7091 X=600689723 Y=4766602386 Z=41947899271 M=1270
A=4636 B=3696 C=5770 X=932432672 Y=7788052242 Z=92225831369 M=5986
A=9902 B=6143 C=7449 X=270831327 Y=5468320163 Z=15979940370 M=8567
A=5313 B=8404 C=5039 X=294694883 Y=2027122113 Z=92613868009 M=4675
A=6776 B=5756 C=9719 X=536758318 Y=3244902866 Z=82645816250 M=6818
A=4473 B=3552 C=6614 X=957946065 Y=2296906203 Z=89814584559 M=2496
A=6355 B=5080 C=6118 X=880902911 Y=5418716841 Z=27199918905 M=8682
A=2246 B=5374 C=7246 X=715926167 Y=4269471054 Z=17561007024 M=3438
A=8863 B=4464 C=9732 X=450143496 Y=7383107770 Z=21944376183 M=5660
A=9232 B=5163 C=5619 X=528065118 Y=6409011134 Z=38646591452 M=7323
A=8586 B=4825 C=6418 X=102620911 Y=5903455094 Z=21262271393 M=4184
A=5018 B=7946 C=8908 X=970282990 Y=3320926578 Z=21922844290 M=6382
A=6019 B=3343 C=5046 X=886554005 Y=7312352563 Z=99091888471 M=2866
A=7276 B=9738 C=7741 X=400402444 Y=8693614554 Z=69608390341 M=1638
A=7259 B=9036 C=6101 X=617007669 Y=6980917440 Z=43293074431 M=2166
A=7269 B=8754 C=6774 X=658933266 Y=9394119049 Z=72901700073 M=1962
A=5122 B=9752 C=5459 X=513304200 Y=9382869140 Z=65081503918 M=7757
A=8886 B=9124 C=6068 X=213169236 Y=8625966493 Z=50012548883 M=5264
A=3481 B=5098 C=9899 X=280783008 Y=4270140982 Z=50804913575 M=7258
A=2698 B=8234 C=8068 X=366731791 Y=3934077720 Z=75270765129 M=2283
A=9940 B=7383 C=7886 X=946009005 Y=6995638048 Z=80934805918 M=2170
A=3825 B=7243 C=8594 X=196999044 Y=2219700625 Z=37261094391 M=8738
A=9807 B=6896 C=5821 X=524159939 Y=3757141049 Z=24518412560 M=5555
A=5837 B=8190 C=6191 X=857797140 Y=4836414391 Z=46872345386 M=2111
A=7308 B=5864 C=9689 X=519747751 Y=9972480438 Z=43550744137 M=7987
A=9781 B=4380 C=9527 X=868963880 Y=3095155360 Z=91260037949 M=6071
